title_raw,title_native,region,archetype_id,sub_industry,level,normalized_title,function,notes
Chief Executive Officer,Chief Executive Officer,Global,any,,1,CEO,Strategy,
CEO,CEO,Global,any,,1,CEO,Strategy,
President,President,USA,any,,1,CEO,Strategy,Often co-equal with CEO
President,President,Japan,any,,2,President,Strategy,Below 代表取締役 in Japanese keiretsu
Founder & CEO,Founder & CEO,Global,any,,1,CEO,Strategy,
Co-Founder & CEO,Co-Founder & CEO,Global,any,,1,CEO,Strategy,
Chairman,Chairman,Global,any,,1,Chairman,Strategy,"Board-level, may be non-executive"
Vice Chairman,Vice Chairman,Global,any,,1,Vice Chairman,Strategy,
Executive Chairman,Executive Chairman,Global,any,,1,Executive Chairman,Strategy,
Chief Financial Officer,Chief Financial Officer,Global,any,,1,CFO,Finance,
CFO,CFO,Global,any,,1,CFO,Finance,
Chief Operating Officer,Chief Operating Officer,Global,any,,1,COO,Operations,
COO,COO,Global,any,,1,COO,Operations,
Chief Marketing Officer,Chief Marketing Officer,Global,any,,1,CMO,Marketing,
CMO,CMO,Global,any,,1,CMO,Marketing,
Chief Technology Officer,Chief Technology Officer,Global,any,,1,CTO,R&D,
CTO,CTO,Global,any,,1,CTO,R&D,
Chief Information Officer,Chief Information Officer,Global,any,,1,CIO,IT,
CIO,CIO,Global,any,,1,CIO,IT,
Chief Human Resources Officer,Chief Human Resources Officer,Global,any,,1,CHRO,HR,
CHRO,CHRO,Global,any,,1,CHRO,HR,
Chief People Officer,Chief People Officer,Global,any,,1,CHRO,HR,
Chief Strategy Officer,Chief Strategy Officer,Global,any,,2,CSO,Strategy,
Chief Risk Officer,Chief Risk Officer,Global,any,,1,CRO,Risk,Level 1 in BFSI; Level 2 elsewhere
Chief Compliance Officer,Chief Compliance Officer,Global,any,,2,CCO,Compliance,
General Counsel,General Counsel,Global,any,,1,General Counsel,Legal,
Chief Legal Officer,Chief Legal Officer,Global,any,,1,General Counsel,Legal,
Chief Revenue Officer,Chief Revenue Officer,Global,any,,1,CRO,Sales,
Chief Sales Officer,Chief Sales Officer,Global,any,,1,CSO,Sales,
Chief Customer Officer,Chief Customer Officer,Global,any,,1,CCustO,Customer Service,
Chief Product Officer,Chief Product Officer,Global,any,,1,CPO,Strategy,
